_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_stratum	review_stratum_desc	reviewer_correct	reviewer_suggested_type	reviewer_notes
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_12_tr_1756389600	בערנאַס, י.	6143-6145				group			יידישע ליטעראַרישע קרייזן	Affiliation_Membership	member	בכן, אַ מענטש, וואָס האָט געהאַט אַ געוויסן שיכות צו די יידישע ליטעראַרישע קרייזן.																		descriptive_term	high	S4	descriptive_term + high, no title			
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_76_r	קאַטץ, איזידאָר [יצחק-קלמן]	6288-6288				theatre	פרענקלין פּאַרק טעאַטער	פרענקלין פּאַרק טעאַטער		Leadership_Ownership	owner_manager	1930-31 — מענעדזשער פֿון פרענקלין פּאַרק טעאַטער	מענעדזשער	1930	1931															proper_name	medium	S2	proper_name + medium confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_16_tr_1752653044	פאָזי אַריה [ישראל אַריה פּאָזיקאָוו]	1609-1611				troupe	יידישדראַמאַטישן קרייז	יידישדראַמאַטישן קרייז		Production_Distribution	produced_by	"אויפגעפירט דעם 23 מערץ 1932 דורכן ""יידישדראַמאַטישן קרייז"" אין מילוואָקי"	דראַמאַטישער קרייז	1932-03-23		מילוואָקי		אַמעריקע						ז. וויינפּער — אַריה פּאָזי׳ס „האַקנקרייץ“, „אויפקום“, נ. י., נאָוו. דעצ., 1935.						proper_name	high	S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_29_tr_1752653013	פּאָלאַקעוויטש, משה	1635-1635				troupe	זשיטאָמירסקי	זשיטאָמירסקי	טרופּע	Employment_Performance	performer	דערנאָך שפּילט ער אַלס פֿאָטער-ראָליסט אין די טרופּעס פֿון זשיטאָמירסקי	פֿאָטער-ראָליסט																	proper_name	high	S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_29_tr_1752653003	פאָליאַקאָוו, אַהרן [פּאָליאַטשעק]	1636-1636				theatre			קליינקונסט-טעאַטערס	Employment_Performance	performer	ספּעציאָליזירט אַלס מאָנאָלאָגיסט אין קליינקונסט-טעאַטערס	מאָנאָלאָגיסט																	descriptive_term	medium	S5	descriptive_term + medium, no title			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_36_tr_1752653027	פּאַפאַק, ה.	1649-1649				theatre	קאַמינסקי טעאַטער	קאַמינסקי-טעאַטער		Production_Distribution	produced_by	"אין 1931 האָט זיגמונט טורקאָוו אויפֿגעפֿירט אין וואַרשעווער „קאַמינסקי טעאַטער"""		1931		וואַרשע	קאַמינסקי טעאַטער				1931									proper_name	high	S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_116_tr_1754820291	פּיקאָן, מאַלי	1809-1824																						א. פֿרומקין — מאַלי פיקאָן אַלס „דאָס ראַדיאָ מיידעל“, „ברוקלינער אידישע שטימע“, נ. י. 8 נאָוו. 1929.						ambiguous	low	S7	ambiguous + low, nearly empty			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_147_tr_1754213832	פריזאַמענט, יעקב	1872-1872								Production_Distribution	produced_by	די אַלע דערמאָנטע פּיעסן זיינען געששפּילט געוואָרן אויף דער לעמבערגער יידישער בינע																		ambiguous	low	S6	ambiguous + low, has context			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_160_tr_1755156219	פרץ, יצחק לייבוש	1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1955, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1970, 1971, 1975, 1973, 197, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 61, 1986, 1987, 1988, 1989, 1990, 1091, 1992, 1893, 1994, 1995, 1996, 187, 1998, 1998, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, פואב, 2010, 2011, 2012, 3013, 2014, 2015, 2016, 2017, 2018, 3010, 2020, 2021, בו, 2033, 2024, 2025, 2020, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2038, 2040, 2041, 2042, 2043, 2044, 2045, 2047, 2048, 4, 2050, 2051, 11, 2053, 2054, 2055, 2056, 3057, 2058, 2059, 2060, 2081, 66, 2063, 2064, 3855, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076																						"דר. גרשון לעווין - ""פרץ"", ווארשא, 1919, זז. 73, 84-86, 93-98 104-107."						ambiguous	low	S7	ambiguous + low, nearly empty			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_160_tr_1755156219	פרץ, יצחק לייבוש	1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1955, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1970, 1971, 1975, 1973, 197, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 61, 1986, 1987, 1988, 1989, 1990, 1091, 1992, 1893, 1994, 1995, 1996, 187, 1998, 1998, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, פואב, 2010, 2011, 2012, 3013, 2014, 2015, 2016, 2017, 2018, 3010, 2020, 2021, בו, 2033, 2024, 2025, 2020, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2038, 2040, 2041, 2042, 2043, 2044, 2045, 2047, 2048, 4, 2050, 2051, 11, 2053, 2054, 2055, 2056, 3057, 2058, 2059, 2060, 2081, 66, 2063, 2064, 3855, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076																						"פ. קאַץ — קינדער-טעאַטער און קינדער-יאַנטעוו, „די פרעסע“, ב""א, 13 אַפּריל 1943."						ambiguous	low	S7	ambiguous + low, nearly empty			
